@relation nba_no_ws
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
4833,769,3028,10.9,1.7,6.9,13.4,0,0,0,False
451,305,141,3.3,2.3,1.0,11.4,0,0,0,False
8255,1345,5578,10.8,1.8,7.3,16.5,1,2,0,False
13017,3023,3427,16.2,3.8,4.3,16.3,3,1,0,False
1258,244,376,11.6,2.3,3.5,13.7,0,1,0,False
2544,605,1964,5.8,1.4,4.5,13.7,0,0,0,False
6357,1063,2808,11.2,1.9,4.9,13.3,0,0,0,False
2782,352,1340,9.6,1.2,4.6,13.4,0,0,0,False
440,57,351,3.9,0.5,3.1,10.6,0,0,0,False
6168,1203,3881,9.1,1.8,5.7,14.2,0,0,0,False
3520,785,3856,4.5,1.0,4.9,9.8,0,0,0,False
6752,573,5268,8.1,0.7,6.3,16.0,0,0,0,False
3780,1203,1317,7.5,2.4,2.6,12.7,0,0,0,False
1495,269,437,5.1,0.9,1.5,11.5,0,0,0,False
989,240,990,7.2,1.7,7.2,11.4,0,0,0,False
8085,598,3945,11.8,0.9,5.8,11.9,2,0,0,False
1182,191,809,4.7,0.8,3.2,10.5,0,0,0,False
11755,2767,2732,12.2,2.9,2.8,14.1,0,1,0,False
694,132,243,5.4,1.0,1.9,11.8,0,0,0,False
15358,2729,2812,15.8,2.8,2.9,14.7,1,2,0,False
4860,872,2453,9.3,1.7,4.7,14.4,0,1,0,False
760,281,158,4.5,1.7,0.9,13.4,0,0,0,False
2376,456,1593,7.6,1.5,5.1,11.5,0,0,0,False
7666,1639,1230,16.5,3.5,2.6,14.2,3,1,0,False
1086,110,364,7.1,0.7,2.4,11.8,0,0,0,False
8203,765,7492,8.6,0.8,7.8,13.8,1,0,0,False
8953,1684,2696,15.8,3.0,4.8,16.3,1,0,0,False
3449,1699,742,6.3,3.1,1.4,14.3,0,0,0,False
6215,1590,4923,13.3,3.4,10.5,20.0,2,2,0.522,True
1699,780,351,6.2,2.8,1.3,11.3,0,0,0,False
1100,396,440,4.9,1.8,1.9,9.6,0,0,0,False
505,102,413,2.1,0.4,1.8,6.6,0,0,0,False
3760,922,842,13.6,3.3,3.1,14.2,0,0,0,False
657,65,400,6.1,0.6,3.7,11.3,0,0,0,False
468,44,266,3.7,0.3,2.1,8.9,0,0,0,False
8766,1026,5798,9.6,1.1,6.3,11.9,0,8,0,False
2121,304,769,6.2,0.9,2.2,11.0,0,0,0,False
12700,1088,6401,13.7,1.2,6.9,16.4,0,0,0,False
2468,236,2681,5.6,0.5,6.1,12.8,0,2,0,False
3301,440,2148,4.6,0.6,3.0,10.9,0,2,0,False
735,47,550,6.0,0.4,4.5,12.6,0,0,0,False
5162,880,1927,8.0,1.4,3.0,11.9,0,0,0,False
3061,273,2887,6.4,0.6,6.0,10.9,0,0,0,False
10789,5196,2641,12.6,6.1,3.1,16.4,1,0,0,False
1474,310,1182,7.1,1.5,5.7,11.5,0,0,0,False
472,93,377,3.4,0.7,2.7,9.9,0,0,0,False
1200,390,277,6.3,2.0,1.4,9.9,0,0,0,False
1707,158,1316,12.2,1.1,9.4,17.5,0,0,0,False
8772,4339,2003,11.1,5.5,2.5,13.9,0,0,0,False
19248,3007,9698,20.1,3.1,10.1,21.7,8,0,0.504,True
3723,611,2301,7.6,1.2,4.7,12.8,0,1,0,False
1938,252,764,7.0,0.9,2.7,14.0,0,0,0,False
8357,1393,4160,10.6,1.8,5.3,16.2,1,0,0.003,False
2031,183,1142,6.4,0.6,3.6,16.4,0,0,0,False
4603,931,4961,5.2,1.1,5.6,13.1,0,4,0,False
1919,653,1512,4.0,1.4,3.2,11.8,0,0,0,False
2622,556,523,9.3,2.0,1.8,11.2,0,0,0,False
8168,1105,6637,10.6,1.4,8.6,12.6,0,0,0,False
2287,460,2690,3.6,0.7,4.2,11.1,0,0,0,False
15411,2209,4305,17.7,2.5,4.9,18.7,5,10,0.067,True
8868,1039,4675,10.2,1.2,5.4,14.6,0,0,0,False
3590,641,913,10.7,1.9,2.7,10.1,0,0,0,False
1099,169,853,7.6,1.2,5.9,10.6,0,0,0,False
6672,2099,1471,9.8,3.1,2.2,11.0,0,1,0,False
7709,963,2469,12.0,1.5,3.8,14.6,0,0,0,False
4602,784,4031,8.3,1.4,7.3,14.6,0,0,0,False
1574,711,1125,5.0,2.3,3.6,12.3,0,1,0,False
1430,203,1258,5.3,0.7,4.6,12.1,0,0,0,False
2403,213,861,7.7,0.7,2.8,10.2,0,0,0,False
585,118,835,2.4,0.5,3.5,8.7,1,0,0,False
5616,1060,5575,8.2,1.6,8.2,13.1,0,0,0,False
1074,298,329,7.8,2.2,2.4,12.6,0,0,0,False
365,67,338,2.7,0.5,2.5,10.9,0,1,0,False
7251,1991,3449,9.5,2.6,4.5,12.2,0,0,0,False
6588,1980,1349,11.8,3.6,2.4,15.0,0,3,0,False
1482,119,1200,4.4,0.4,3.5,9.8,0,0,0,False
2133,310,2550,5.2,0.8,6.2,10.6,0,0,0,False
545,85,526,2.6,0.4,2.5,8.4,0,0,0,False
643,142,492,4.5,1.0,3.4,10.7,0,0,0,False
6684,3339,1164,9.5,4.8,1.7,14.7,0,0,0,False
13892,2502,4817,20.1,3.6,7.0,20.1,5,0,0.118,False
11366,3069,2930,16.6,4.5,4.3,17.1,6,0,0,False
17707,10141,6559,19.5,11.2,7.2,24.1,12,5,5.129,True
5960,1950,1567,10.8,3.5,2.8,13.7,0,5,0,False
2431,370,941,9.5,1.5,3.7,12.7,0,0,0,False
835,143,259,5.5,0.9,1.7,8.9,0,0,0,False
5629,964,3436,12.0,2.1,7.3,21.2,0,0,0.003,True
16784,1646,13017,12.8,1.3,10.0,15.3,3,0,0.064,False
7106,805,3965,11.9,1.3,6.6,15.4,1,0,0,False
510,31,383,3.6,0.2,2.7,11.2,0,0,0,False
