@relation nba_all
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute stats.advanced.ts_pct.value real
@attribute stats.advanced.ws.value real
@attribute stats.advanced.dws.value real
@attribute stats.advanced.ows.value real
@attribute stats.advanced.efg_pct.value real
@attribute stats.totals.g.value integer
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
3520,785,3856,4.5,1.0,4.9,9.8,0.499,29.2,23.0,6.1,0.473,784,0,0,0,False
6752,573,5268,8.1,0.7,6.3,16.0,0.5,40.7,30.8,9.9,0.457,832,0,0,0,False
3780,1203,1317,7.5,2.4,2.6,12.7,0.5,13.4,9.1,4.4,0.451,501,0,0,0,False
1495,269,437,5.1,0.9,1.5,11.5,0.522,5.2,2.9,2.4,0.474,291,0,0,0,False
989,240,990,7.2,1.7,7.2,11.4,0.453,4.3,1.5,2.8,0.384,138,0,0,0,False
8085,598,3945,11.8,0.9,5.8,11.9,0.515,24.7,18.1,6.6,0.468,684,2,0,0,False
1182,191,809,4.7,0.8,3.2,10.5,0.487,1.8,2.1,-0.3,0.439,249,0,0,0,False
11755,2767,2732,12.2,2.9,2.8,14.1,0.531,58.3,14.6,43.7,0.488,964,0,1,0,False
694,132,243,5.4,1.0,1.9,11.8,0.51,2.4,1.0,1.4,0.465,129,0,0,0,False
15358,2729,2812,15.8,2.8,2.9,14.7,0.508,68.7,22.1,46.5,0.456,971,1,2,0,False
4860,872,2453,9.3,1.7,4.7,14.4,0.491,20.3,11.5,8.8,0.438,522,0,1,0,False
760,281,158,4.5,1.7,0.9,13.4,0.53,2.0,1.2,0.8,0.519,168,0,0,0,False
2376,456,1593,7.6,1.5,5.1,11.5,0.512,6.5,5.4,1.1,0.462,312,0,0,0,False
7666,1639,1230,16.5,3.5,2.6,14.2,0.537,34.3,8.9,25.5,0.474,465,3,1,0,False
1086,110,364,7.1,0.7,2.4,11.8,0.511,2.7,2.5,0.2,0.448,154,0,0,0,False
8203,765,7492,8.6,0.8,7.8,13.8,0.618,62.3,30.8,31.5,0.571,957,1,0,0,False
8953,1684,2696,15.8,3.0,4.8,16.3,0.52,35.8,14.4,21.4,0.462,566,1,0,0,False
3449,1699,742,6.3,3.1,1.4,14.3,0.525,14.0,7.9,6.1,0.483,549,0,0,0,False
6215,1590,4923,13.3,3.4,10.5,20.0,0.551,39.3,24.6,14.7,0.521,468,2,2,0.522,True
1699,780,351,6.2,2.8,1.3,11.3,0.488,4.2,2.8,1.4,0.444,276,0,0,0,False
1100,396,440,4.9,1.8,1.9,9.6,0.501,2.5,2.7,-0.2,0.471,226,0,0,0,False
505,102,413,2.1,0.4,1.8,6.6,0.481,0.4,1.5,-1.1,0.433,235,0,0,0,False
3760,922,842,13.6,3.3,3.1,14.2,0.487,14.0,8.1,5.9,0.452,276,0,0,0,False
657,65,400,6.1,0.6,3.7,11.3,0.452,0.2,1.2,-1.0,0.417,107,0,0,0,False
468,44,266,3.7,0.3,2.1,8.9,0.443,-0.2,1.2,-1.4,0.417,127,0,0,0,False
8766,1026,5798,9.6,1.1,6.3,11.9,0.482,56.5,41.9,14.6,0.428,916,0,8,0,False
2121,304,769,6.2,0.9,2.2,11.0,0.519,6.4,5.3,1.1,0.485,344,0,0,0,False
